County,State,Estimated_Usage_2016,County_State
Turner County,Georgia,68.13,Turner County_Georgia
Twiggs County,Georgia,70.74,Twiggs County_Georgia
Union County,Georgia,194.52,Union County_Georgia
Upson County,Georgia,225.27,Upson County_Georgia
Walker County,Georgia,587.32,Walker County_Georgia
Walton County,Georgia,771.12,Walton County_Georgia
Ware County,Georgia,306.34,Ware County_Georgia
Warren County,Georgia,45.89,Warren County_Georgia
Washington County,Georgia,174.53,Washington County_Georgia
Wayne County,Georgia,257,Wayne County_Georgia
Webster County,Georgia,22.44,Webster County_Georgia
Wheeler County,Georgia,68.63,Wheeler County_Georgia
White County,Georgia,247.31,White County_Georgia
Whitfield County,Georgia,894.97,Whitfield County_Georgia
Wilcox County,Georgia,75.8,Wilcox County_Georgia
Wilkes County,Georgia,84.17,Wilkes County_Georgia
Wilkinson County,Georgia,77.39,Wilkinson County_Georgia
Worth County,Georgia,177.77,Worth County_Georgia
Hawaii County,Hawaii,1699.93,Hawaii County_Hawaii
Honolulu County,Hawaii,8517.35,Honolulu County_Hawaii
Kalawao County,Hawaii,0.76,Kalawao County_Hawaii
Kauai County,Hawaii,614.12,Kauai County_Hawaii
Maui County,Hawaii,1421.06,Maui County_Hawaii
Ada County,Idaho,3816.61,Ada County_Idaho
Adams County,Idaho,33.81,Adams County_Idaho
Bannock County,Idaho,727.54,Bannock County_Idaho
Bear Lake County,Idaho,50.85,Bear Lake County_Idaho
Benewah County,Idaho,77.35,Benewah County_Idaho
Bingham County,Idaho,388.83,Bingham County_Idaho
Blaine County,Idaho,188.65,Blaine County_Idaho
Boise County,Idaho,60.78,Boise County_Idaho
Bonner County,Idaho,363.22,Bonner County_Idaho
Bonneville County,Idaho,963.1,Bonneville County_Idaho
Boundary County,Idaho,99.97,Boundary County_Idaho
Butte County,Idaho,22.09,Butte County_Idaho
Camas County,Idaho,9.29,Camas County_Idaho
Canyon County,Idaho,1813.57,Canyon County_Idaho
Caribou County,Idaho,59.21,Caribou County_Idaho
Cassia County,Idaho,201.58,Cassia County_Idaho
Clark County,Idaho,7.47,Clark County_Idaho
Clearwater County,Idaho,74.23,Clearwater County_Idaho
Custer County,Idaho,35.03,Custer County_Idaho
Elmore County,Idaho,223.8,Elmore County_Idaho
Franklin County,Idaho,114.27,Franklin County_Idaho
Fremont County,Idaho,110.82,Fremont County_Idaho
Gem County,Idaho,145.5,Gem County_Idaho
Gooding County,Idaho,130.13,Gooding County_Idaho
Idaho County,Idaho,139.25,Idaho County_Idaho
Jefferson County,Idaho,238.88,Jefferson County_Idaho
Jerome County,Idaho,200.99,Jerome County_Idaho
Kootenai County,Idaho,1313.63,Kootenai County_Idaho
Latah County,Idaho,334.95,Latah County_Idaho
Lemhi County,Idaho,66.14,Lemhi County_Idaho
Lewis County,Idaho,33.07,Lewis County_Idaho
Lincoln County,Idaho,45.26,Lincoln County_Idaho
Madison County,Idaho,334.28,Madison County_Idaho
Minidoka County,Idaho,177.21,Minidoka County_Idaho
Nez Perce County,Idaho,344.58,Nez Perce County_Idaho
Oneida County,Idaho,36.92,Oneida County_Idaho
Owyhee County,Idaho,97.55,Owyhee County_Idaho
Payette County,Idaho,196.49,Payette County_Idaho
Power County,Idaho,66.17,Power County_Idaho
Shoshone County,Idaho,106.65,Shoshone County_Idaho
Teton County,Idaho,95.68,Teton County_Idaho
Twin Falls County,Idaho,718.55,Twin Falls County_Idaho
Valley County,Idaho,89.5,Valley County_Idaho
Washington County,Idaho,86.18,Washington County_Idaho
Adams County,Illinois,570.75,Adams County_Illinois
Alexander County,Illinois,55.4,Alexander County_Illinois
Bond County,Illinois,141.92,Bond County_Illinois
Boone County,Illinois,459.84,Boone County_Illinois
Brown County,Illinois,56.86,Brown County_Illinois
Bureau County,Illinois,286.5,Bureau County_Illinois
Calhoun County,Illinois,41.75,Calhoun County_Illinois
Carroll County,Illinois,125.21,Carroll County_Illinois
Cass County,Illinois,108.68,Cass County_Illinois
Champaign County,Illinois,1801.48,Champaign County_Illinois
Christian County,Illinois,284.98,Christian County_Illinois
Clark County,Illinois,136.08,Clark County_Illinois
Clay County,Illinois,114.24,Clay County_Illinois
Clinton County,Illinois,322.54,Clinton County_Illinois
Coles County,Illinois,444.16,Coles County_Illinois
Cook County,Illinois,44860.43,Cook County_Illinois
Crawford County,Illinois,164.19,Crawford County_Illinois
Cumberland County,Illinois,93.25,Cumberland County_Illinois
DeKalb County,Illinois,892.19,DeKalb County_Illinois
De Witt County,Illinois,138.42,De Witt County_Illinois
Douglas County,Illinois,169.2,Douglas County_Illinois
DuPage County,Illinois,7993.87,DuPage County_Illinois
Edgar County,Illinois,150.31,Edgar County_Illinois
Edwards County,Illinois,56.07,Edwards County_Illinois
Effingham County,Illinois,293.32,Effingham County_Illinois
Fayette County,Illinois,185.04,Fayette County_Illinois
Ford County,Illinois,114.51,Ford County_Illinois
Franklin County,Illinois,335.42,Franklin County_Illinois
Fulton County,Illinois,304.21,Fulton County_Illinois
Gallatin County,Illinois,44.25,Gallatin County_Illinois
Greene County,Illinois,112.56,Greene County_Illinois
Grundy County,Illinois,431.63,Grundy County_Illinois
Hamilton County,Illinois,70.24,Hamilton County_Illinois
Hancock County,Illinois,156.18,Hancock County_Illinois
Hardin County,Illinois,34.22,Hardin County_Illinois
Henderson County,Illinois,59.08,Henderson County_Illinois
Henry County,Illinois,424.81,Henry County_Illinois
Iroquois County,Illinois,241.68,Iroquois County_Illinois
Jackson County,Illinois,504.3,Jackson County_Illinois
Jasper County,Illinois,82.16,Jasper County_Illinois
Jefferson County,Illinois,328.16,Jefferson County_Illinois
Jersey County,Illinois,187.95,Jersey County_Illinois
Jo Daviess County,Illinois,187.41,Jo Daviess County_Illinois
Johnson County,Illinois,106.88,Johnson County_Illinois
Kane County,Illinois,4559.98,Kane County_Illinois
Kankakee County,Illinois,953.02,Kankakee County_Illinois
Kendall County,Illinois,1069.01,Kendall County_Illinois
Knox County,Illinois,437.05,Knox County_Illinois
Lake County,Illinois,6045.88,Lake County_Illinois
LaSalle County,Illinois,945.55,LaSalle County_Illinois
Lawrence County,Illinois,138.71,Lawrence County_Illinois
Lee County,Illinois,295.86,Lee County_Illinois
Livingston County,Illinois,309.74,Livingston County_Illinois
Logan County,Illinois,250.13,Logan County_Illinois
McDonough County,Illinois,264.91,McDonough County_Illinois
McHenry County,Illinois,2636.62,McHenry County_Illinois
McLean County,Illinois,1485.55,McLean County_Illinois
Macon County,Illinois,913.18,Macon County_Illinois
Macoupin County,Illinois,392.01,Macoupin County_Illinois
Madison County,Illinois,2280,Madison County_Illinois
Marion County,Illinois,326.51,Marion County_Illinois
Marshall County,Illinois,101.89,Marshall County_Illinois
Mason County,Illinois,117.32,Mason County_Illinois
Massac County,Illinois,123.89,Massac County_Illinois
Menard County,Illinois,106.38,Menard County_Illinois
Mercer County,Illinois,133.84,Mercer County_Illinois
Monroe County,Illinois,290.93,Monroe County_Illinois
Montgomery County,Illinois,249.3,Montgomery County_Illinois
Morgan County,Illinois,297.01,Morgan County_Illinois
Moultrie County,Illinois,125.29,Moultrie County_Illinois
Ogle County,Illinois,438.97,Ogle County_Illinois
Peoria County,Illinois,1587.94,Peoria County_Illinois
Perry County,Illinois,183.54,Perry County_Illinois
Piatt County,Illinois,141.79,Piatt County_Illinois
Pike County,Illinois,135.03,Pike County_Illinois
Pope County,Illinois,35.86,Pope County_Illinois
Pulaski County,Illinois,48.07,Pulaski County_Illinois
Putnam County,Illinois,49.03,Putnam County_Illinois
Randolph County,Illinois,278.13,Randolph County_Illinois
Richland County,Illinois,135.75,Richland County_Illinois
Rock Island County,Illinois,1246.08,Rock Island County_Illinois
St. Clair County,Illinois,2257.43,St. Clair County_Illinois
Saline County,Illinois,207.89,Saline County_Illinois
Sangamon County,Illinois,1698.89,Sangamon County_Illinois
Schuyler County,Illinois,60.31,Schuyler County_Illinois
Scott County,Illinois,43.31,Scott County_Illinois
Shelby County,Illinois,186.51,Shelby County_Illinois
Stark County,Illinois,47.27,Stark County_Illinois
Stephenson County,Illinois,390.37,Stephenson County_Illinois
Tazewell County,Illinois,1148.76,Tazewell County_Illinois
Union County,Illinois,146.82,Union County_Illinois
Vermilion County,Illinois,673.48,Vermilion County_Illinois
Wabash County,Illinois,99.03,Wabash County_Illinois
Warren County,Illinois,148.46,Warren County_Illinois
Washington County,Illinois,121.65,Washington County_Illinois
Wayne County,Illinois,141.99,Wayne County_Illinois
White County,Illinois,120.72,White County_Illinois
Whiteside County,Illinois,484.53,Whiteside County_Illinois
Will County,Illinois,5908.64,Will County_Illinois
Williamson County,Illinois,578.98,Williamson County_Illinois
Winnebago County,Illinois,2454.36,Winnebago County_Illinois
Woodford County,Illinois,333.98,Woodford County_Illinois
Adams County,Indiana,301.95,Adams County_Indiana
Allen County,Indiana,3172.72,Allen County_Indiana
Bartholomew County,Indiana,706.25,Bartholomew County_Indiana
Benton County,Indiana,74.27,Benton County_Indiana
Blackford County,Indiana,103.86,Blackford County_Indiana
Boone County,Indiana,550.56,Boone County_Indiana
Brown County,Indiana,128.7,Brown County_Indiana
Carroll County,Indiana,171.26,Carroll County_Indiana
Cass County,Indiana,325.64,Cass County_Indiana
Clark County,Indiana,991.84,Clark County_Indiana
Clay County,Indiana,224.8,Clay County_Indiana
Clinton County,Indiana,276.26,Clinton County_Indiana
Crawford County,Indiana,90.79,Crawford County_Indiana
Daviess County,Indiana,282.9,Daviess County_Indiana
Dearborn County,Indiana,424.15,Dearborn County_Indiana
Decatur County,Indiana,227.9,Decatur County_Indiana
DeKalb County,Indiana,365.61,DeKalb County_Indiana
Delaware County,Indiana,992.51,Delaware County_Indiana
Dubois County,Indiana,363.97,Dubois County_Indiana
Elkhart County,Indiana,1747.35,Elkhart County_Indiana
Fayette County,Indiana,199.55,Fayette County_Indiana
Floyd County,Indiana,658.06,Floyd County_Indiana
Fountain County,Indiana,141.13,Fountain County_Indiana
Franklin County,Indiana,195.66,Franklin County_Indiana
Fulton County,Indiana,172.54,Fulton County_Indiana
Gibson County,Indiana,287.96,Gibson County_Indiana
Grant County,Indiana,572.12,Grant County_Indiana
Greene County,Indiana,276.53,Greene County_Indiana
Hamilton County,Indiana,2711.21,Hamilton County_Indiana
Hancock County,Indiana,632.59,Hancock County_Indiana
Harrison County,Indiana,340.34,Harrison County_Indiana
Hendricks County,Indiana,1375.97,Hendricks County_Indiana
Henry County,Indiana,414.83,Henry County_Indiana
Howard County,Indiana,706.28,Howard County_Indiana
Huntington County,Indiana,311.35,Huntington County_Indiana
Jackson County,Indiana,377.56,Jackson County_Indiana
Jasper County,Indiana,286.71,Jasper County_Indiana
Jay County,Indiana,180.38,Jay County_Indiana
Jefferson County,Indiana,276.54,Jefferson County_Indiana
Jennings County,Indiana,237.17,Jennings County_Indiana
Johnson County,Indiana,1300.52,Johnson County_Indiana
Knox County,Indiana,320.3,Knox County_Indiana
Kosciusko County,Indiana,675.61,Kosciusko County_Indiana
LaGrange County,Indiana,335.56,LaGrange County_Indiana
Lake County,Indiana,4171.61,Lake County_Indiana
LaPorte County,Indiana,945.99,LaPorte County_Indiana
Lawrence County,Indiana,391.15,Lawrence County_Indiana
Madison County,Indiana,1109.38,Madison County_Indiana
Marion County,Indiana,8100.76,Marion County_Indiana
Marshall County,Indiana,399.83,Marshall County_Indiana
Martin County,Indiana,87.44,Martin County_Indiana
Miami County,Indiana,309.23,Miami County_Indiana
Monroe County,Indiana,1250.53,Monroe County_Indiana
Montgomery County,Indiana,328.18,Montgomery County_Indiana
Morgan County,Indiana,597.41,Morgan County_Indiana
Newton County,Indiana,119.99,Newton County_Indiana
Noble County,Indiana,406.92,Noble County_Indiana
Ohio County,Indiana,50.55,Ohio County_Indiana
Orange County,Indiana,166.97,Orange County_Indiana
Owen County,Indiana,179.33,Owen County_Indiana
Parke County,Indiana,145.34,Parke County_Indiana
Perry County,Indiana,162.82,Perry County_Indiana
Pike County,Indiana,106.38,Pike County_Indiana
Porter County,Indiana,1437.35,Porter County_Indiana
Posey County,Indiana,219.94,Posey County_Indiana
Pulaski County,Indiana,108.09,Pulaski County_Indiana
Putnam County,Indiana,319.62,Putnam County_Indiana
Randolph County,Indiana,215.45,Randolph County_Indiana
Ripley County,Indiana,243.66,Ripley County_Indiana
Rush County,Indiana,142.79,Rush County_Indiana
St. Joseph County,Indiana,2312.19,St. Joseph County_Indiana
Scott County,Indiana,203.34,Scott County_Indiana
Shelby County,Indiana,379.74,Shelby County_Indiana
Spencer County,Indiana,175.81,Spencer County_Indiana
Starke County,Indiana,197.47,Starke County_Indiana
Steuben County,Indiana,294.76,Steuben County_Indiana
Sullivan County,Indiana,177.68,Sullivan County_Indiana
Switzerland County,Indiana,91.08,Switzerland County_Indiana
Tippecanoe County,Indiana,1634.53,Tippecanoe County_Indiana
Tipton County,Indiana,130.13,Tipton County_Indiana
Union County,Indiana,61.26,Union County_Indiana
Vanderburgh County,Indiana,1555.62,Vanderburgh County_Indiana
Vermillion County,Indiana,133.73,Vermillion County_Indiana
Vigo County,Indiana,925.37,Vigo County_Indiana
Wabash County,Indiana,270.31,Wabash County_Indiana
Warren County,Indiana,70.05,Warren County_Indiana
Warrick County,Indiana,532.53,Warrick County_Indiana
Washington County,Indiana,237.96,Washington County_Indiana
Wayne County,Indiana,571.51,Wayne County_Indiana
Wells County,Indiana,238.99,Wells County_Indiana
White County,Indiana,206.56,White County_Indiana
Whitley County,Indiana,287.37,Whitley County_Indiana
Adair County,Iowa,60.04,Adair County_Iowa
Adams County,Iowa,31.68,Adams County_Iowa
Allamakee County,Iowa,118.83,Allamakee County_Iowa
Appanoose County,Iowa,107.29,Appanoose County_Iowa
Audubon County,Iowa,48.3,Audubon County_Iowa
Benton County,Iowa,219.93,Benton County_Iowa
Black Hawk County,Iowa,1142.14,Black Hawk County_Iowa
Boone County,Iowa,226.74,Boone County_Iowa
Bremer County,Iowa,212.24,Bremer County_Iowa
Buchanan County,Iowa,180.34,Buchanan County_Iowa
Buena Vista County,Iowa,174.36,Buena Vista County_Iowa
Butler County,Iowa,126.17,Butler County_Iowa
Calhoun County,Iowa,84.15,Calhoun County_Iowa
Carroll County,Iowa,174.84,Carroll County_Iowa
Cass County,Iowa,112.92,Cass County_Iowa
Cedar County,Iowa,157.96,Cedar County_Iowa
Cerro Gordo County,Iowa,369.7,Cerro Gordo County_Iowa
Cherokee County,Iowa,97.83,Cherokee County_Iowa
Chickasaw County,Iowa,103.78,Chickasaw County_Iowa
Clarke County,Iowa,79.37,Clarke County_Iowa
Clay County,Iowa,139.82,Clay County_Iowa
Clayton County,Iowa,151.5,Clayton County_Iowa
Clinton County,Iowa,405.22,Clinton County_Iowa
Crawford County,Iowa,146.87,Crawford County_Iowa
Dallas County,Iowa,722.93,Dallas County_Iowa
Davis County,Iowa,76.23,Davis County_Iowa
Decatur County,Iowa,69.03,Decatur County_Iowa
Delaware County,Iowa,148.26,Delaware County_Iowa
Des Moines County,Iowa,339.67,Des Moines County_Iowa
Dickinson County,Iowa,146.8,Dickinson County_Iowa
Dubuque County,Iowa,830.39,Dubuque County_Iowa
Emmet County,Iowa,82.13,Emmet County_Iowa
Fayette County,Iowa,170.32,Fayette County_Iowa
Floyd County,Iowa,136.05,Floyd County_Iowa
Franklin County,Iowa,87.37,Franklin County_Iowa
Fremont County,Iowa,59.64,Fremont County_Iowa
Greene County,Iowa,77.22,Greene County_Iowa
Grundy County,Iowa,105.41,Grundy County_Iowa
Guthrie County,Iowa,91.34,Guthrie County_Iowa
Hamilton County,Iowa,129.5,Hamilton County_Iowa
Hancock County,Iowa,93.41,Hancock County_Iowa
Hardin County,Iowa,147.35,Hardin County_Iowa
Harrison County,Iowa,120.53,Harrison County_Iowa
Henry County,Iowa,170.13,Henry County_Iowa
Howard County,Iowa,79.39,Howard County_Iowa
Humboldt County,Iowa,81.67,Humboldt County_Iowa
Ida County,Iowa,59.67,Ida County_Iowa
Iowa County,Iowa,138.87,Iowa County_Iowa
Jackson County,Iowa,166.34,Jackson County_Iowa
Jasper County,Iowa,314.91,Jasper County_Iowa
Jefferson County,Iowa,154.99,Jefferson County_Iowa
Johnson County,Iowa,1260.05,Johnson County_Iowa
Jones County,Iowa,175.24,Jones County_Iowa
Keokuk County,Iowa,87.24,Keokuk County_Iowa
Kossuth County,Iowa,129.64,Kossuth County_Iowa
Lee County,Iowa,295.66,Lee County_Iowa
Linn County,Iowa,1905.47,Linn County_Iowa
Louisa County,Iowa,96.2,Louisa County_Iowa
Lucas County,Iowa,73.38,Lucas County_Iowa
Lyon County,Iowa,101.08,Lyon County_Iowa
Madison County,Iowa,135.77,Madison County_Iowa
Mahaska County,Iowa,190.24,Mahaska County_Iowa
Marion County,Iowa,284.37,Marion County_Iowa
Marshall County,Iowa,344.31,Marshall County_Iowa
Mills County,Iowa,129,Mills County_Iowa
Mitchell County,Iowa,91.31,Mitchell County_Iowa
Monona County,Iowa,75.42,Monona County_Iowa
Monroe County,Iowa,67.19,Monroe County_Iowa
Montgomery County,Iowa,86.9,Montgomery County_Iowa
Muscatine County,Iowa,368.3,Muscatine County_Iowa
O'Brien County,Iowa,119.55,O'Brien County_Iowa
Osceola County,Iowa,52.34,Osceola County_Iowa
Page County,Iowa,131.7,Page County_Iowa
Palo Alto County,Iowa,77.46,Palo Alto County_Iowa
Plymouth County,Iowa,216.15,Plymouth County_Iowa
Pocahontas County,Iowa,58.76,Pocahontas County_Iowa
Polk County,Iowa,4071.91,Polk County_Iowa
Pottawattamie County,Iowa,803.02,Pottawattamie County_Iowa
Poweshiek County,Iowa,159.1,Poweshiek County_Iowa
Ringgold County,Iowa,42.77,Ringgold County_Iowa
Sac County,Iowa,84.19,Sac County_Iowa
Scott County,Iowa,1477.68,Scott County_Iowa
Shelby County,Iowa,99.98,Shelby County_Iowa
Sioux County,Iowa,300,Sioux County_Iowa
Story County,Iowa,830.94,Story County_Iowa
Tama County,Iowa,147.5,Tama County_Iowa
Taylor County,Iowa,53.53,Taylor County_Iowa
Union County,Iowa,106.12,Union County_Iowa
Van Buren County,Iowa,62.13,Van Buren County_Iowa
Wapello County,Iowa,303.13,Wapello County_Iowa
Warren County,Iowa,423.45,Warren County_Iowa
Washington County,Iowa,189.94,Washington County_Iowa
Wayne County,Iowa,55.29,Wayne County_Iowa
Webster County,Iowa,315.28,Webster County_Iowa
Winnebago County,Iowa,90.92,Winnebago County_Iowa
Winneshiek County,Iowa,175.14,Winneshiek County_Iowa
Woodbury County,Iowa,880.31,Woodbury County_Iowa
Worth County,Iowa,64.09,Worth County_Iowa
Wright County,Iowa,110.13,Wright County_Iowa
Allen County,Kansas,108.4,Allen County_Kansas
Anderson County,Kansas,67.05,Anderson County_Kansas
Atchison County,Kansas,140.51,Atchison County_Kansas
Barber County,Kansas,40.09,Barber County_Kansas
Barton County,Kansas,230.77,Barton County_Kansas
Bourbon County,Kansas,125.63,Bourbon County_Kansas
Brown County,Kansas,82.65,Brown County_Kansas
Butler County,Kansas,571.67,Butler County_Kansas
Chase County,Kansas,22.57,Chase County_Kansas
Chautauqua County,Kansas,28.82,Chautauqua County_Kansas
Cherokee County,Kansas,173.59,Cherokee County_Kansas
Cheyenne County,Kansas,22.94,Cheyenne County_Kansas
Clark County,Kansas,17.71,Clark County_Kansas
Clay County,Kansas,69.51,Clay County_Kansas
Cloud County,Kansas,78.04,Cloud County_Kansas
Coffey County,Kansas,71.5,Coffey County_Kansas
Comanche County,Kansas,15.79,Comanche County_Kansas
Cowley County,Kansas,306.45,Cowley County_Kansas
Crawford County,Kansas,335.29,Crawford County_Kansas
Decatur County,Kansas,24.3,Decatur County_Kansas
Dickinson County,Kansas,162.63,Dickinson County_Kansas
Doniphan County,Kansas,66.17,Doniphan County_Kansas
Douglas County,Kansas,1028.39,Douglas County_Kansas
Edwards County,Kansas,24.89,Edwards County_Kansas
Elk County,Kansas,21.54,Elk County_Kansas
Ellis County,Kansas,248.38,Ellis County_Kansas
Ellsworth County,Kansas,54.09,Ellsworth County_Kansas
Finney County,Kansas,317.14,Finney County_Kansas
Ford County,Kansas,296.82,Ford County_Kansas
Franklin County,Kansas,219.05,Franklin County_Kansas
Geary County,Kansas,301.47,Geary County_Kansas
Gove County,Kansas,22.51,Gove County_Kansas
Graham County,Kansas,22.08,Graham County_Kansas
Grant County,Kansas,65.97,Grant County_Kansas
Gray County,Kansas,51.65,Gray County_Kansas
Greeley County,Kansas,10.96,Greeley County_Kansas
Greenwood County,Kansas,52.42,Greenwood County_Kansas
Hamilton County,Kansas,22.56,Hamilton County_Kansas
Harper County,Kansas,48.64,Harper County_Kansas
Harvey County,Kansas,298.04,Harvey County_Kansas
Haskell County,Kansas,34.51,Haskell County_Kansas
Hodgeman County,Kansas,15.74,Hodgeman County_Kansas
Jackson County,Kansas,113.85,Jackson County_Kansas
Jefferson County,Kansas,161.67,Jefferson County_Kansas
Jewell County,Kansas,24.71,Jewell County_Kansas
Johnson County,Kansas,5027.23,Johnson County_Kansas
Kearny County,Kansas,33.48,Kearny County_Kansas
Kingman County,Kansas,63.6,Kingman County_Kansas
Kiowa County,Kansas,21.54,Kiowa County_Kansas
Labette County,Kansas,174.29,Labette County_Kansas
Lane County,Kansas,13.67,Lane County_Kansas
Leavenworth County,Kansas,688.03,Leavenworth County_Kansas
Lincoln County,Kansas,26.44,Lincoln County_Kansas
Linn County,Kansas,82.44,Linn County_Kansas
Logan County,Kansas,24.18,Logan County_Kansas
Lyon County,Kansas,286.79,Lyon County_Kansas
McPherson County,Kansas,243.77,McPherson County_Kansas
Marion County,Kansas,103.03,Marion County_Kansas
Marshall County,Kansas,83.94,Marshall County_Kansas
Meade County,Kansas,36.36,Meade County_Kansas
Miami County,Kansas,282.42,Miami County_Kansas
Mitchell County,Kansas,53.4,Mitchell County_Kansas
Montgomery County,Kansas,281.6,Montgomery County_Kansas
Morris County,Kansas,47.64,Morris County_Kansas
Morton County,Kansas,23.91,Morton County_Kansas
Nemaha County,Kansas,86.56,Nemaha County_Kansas
Neosho County,Kansas,137.81,Neosho County_Kansas
Ness County,Kansas,25.34,Ness County_Kansas
Norton County,Kansas,47.14,Norton County_Kansas
Osage County,Kansas,135.62,Osage County_Kansas
Osborne County,Kansas,30.82,Osborne County_Kansas
Ottawa County,Kansas,50.69,Ottawa County_Kansas
Pawnee County,Kansas,57.63,Pawnee County_Kansas
Phillips County,Kansas,46.37,Phillips County_Kansas
Pottawatomie County,Kansas,202.59,Pottawatomie County_Kansas
Pratt County,Kansas,81.97,Pratt County_Kansas
Rawlins County,Kansas,21.45,Rawlins County_Kansas
Reno County,Kansas,542.12,Reno County_Kansas
Republic County,Kansas,39.98,Republic County_Kansas
Rice County,Kansas,83.98,Rice County_Kansas
Riley County,Kansas,644.9,Riley County_Kansas
Rooks County,Kansas,43.96,Rooks County_Kansas
Rush County,Kansas,26.21,Rush County_Kansas
Russell County,Kansas,60.09,Russell County_Kansas
Saline County,Kansas,471.71,Saline County_Kansas
Scott County,Kansas,42.75,Scott County_Kansas
Sedgwick County,Kansas,4403.18,Sedgwick County_Kansas
Seward County,Kansas,196.29,Seward County_Kansas
Shawnee County,Kansas,1530.9,Shawnee County_Kansas
Sheridan County,Kansas,21.34,Sheridan County_Kansas
Sherman County,Kansas,51.09,Sherman County_Kansas
Smith County,Kansas,31.37,Smith County_Kansas
Stafford County,Kansas,35.92,Stafford County_Kansas
Stanton County,Kansas,17.92,Stanton County_Kansas
Stevens County,Kansas,48.57,Stevens County_Kansas
Sumner County,Kansas,198.76,Sumner County_Kansas
Thomas County,Kansas,67.33,Thomas County_Kansas
Trego County,Kansas,24.44,Trego County_Kansas
Wabaunsee County,Kansas,59.04,Wabaunsee County_Kansas
Wallace County,Kansas,12.89,Wallace County_Kansas
Washington County,Kansas,47.73,Washington County_Kansas
Wichita County,Kansas,18.28,Wichita County_Kansas
Wilson County,Kansas,74.65,Wilson County_Kansas
Woodson County,Kansas,27.37,Woodson County_Kansas
Wyandotte County,Kansas,1415.14,Wyandotte County_Kansas
Adair County,Kentucky,165.29,Adair County_Kentucky
Allen County,Kentucky,177.93,Allen County_Kentucky
Anderson County,Kentucky,190.01,Anderson County_Kentucky
Ballard County,Kentucky,69.03,Ballard County_Kentucky
Barren County,Kentucky,375.75,Barren County_Kentucky
Bath County,Kentucky,105.06,Bath County_Kentucky
Bell County,Kentucky,233.64,Bell County_Kentucky
Boone County,Kentucky,1108.41,Boone County_Kentucky
Bourbon County,Kentucky,172.86,Bourbon County_Kentucky
Boyd County,Kentucky,412.78,Boyd County_Kentucky
Boyle County,Kentucky,256.83,Boyle County_Kentucky
Bracken County,Kentucky,71.79,Bracken County_Kentucky
Breathitt County,Kentucky,113.1,Breathitt County_Kentucky
Breckinridge County,Kentucky,171.5,Breckinridge County_Kentucky
Bullitt County,Kentucky,679.81,Bullitt County_Kentucky
Butler County,Kentucky,108.82,Butler County_Kentucky
Caldwell County,Kentucky,108.43,Caldwell County_Kentucky
Calloway County,Kentucky,332.55,Calloway County_Kentucky
Campbell County,Kentucky,789.84,Campbell County_Kentucky
Carlisle County,Kentucky,41.07,Carlisle County_Kentucky
Carroll County,Kentucky,91.23,Carroll County_Kentucky
Carter County,Kentucky,234.15,Carter County_Kentucky
Casey County,Kentucky,135.29,Casey County_Kentucky
Christian County,Kentucky,616.56,Christian County_Kentucky
Clark County,Kentucky,307.71,Clark County_Kentucky
Clay County,Kentucky,177.12,Clay County_Kentucky
Clinton County,Kentucky,87.59,Clinton County_Kentucky
Crittenden County,Kentucky,78.36,Crittenden County_Kentucky
Cumberland County,Kentucky,57.81,Cumberland County_Kentucky
Daviess County,Kentucky,858.37,Daviess County_Kentucky
Edmonson County,Kentucky,103.66,Edmonson County_Kentucky
Elliott County,Kentucky,64.26,Elliott County_Kentucky
Estill County,Kentucky,122.85,Estill County_Kentucky
Fayette County,Kentucky,2743.37,Fayette County_Kentucky
Fleming County,Kentucky,124.23,Fleming County_Kentucky
Floyd County,Kentucky,317.28,Floyd County_Kentucky
Franklin County,Kentucky,431.69,Franklin County_Kentucky
Fulton County,Kentucky,53.11,Fulton County_Kentucky
Gallatin County,Kentucky,74.74,Gallatin County_Kentucky
Garrard County,Kentucky,149.18,Garrard County_Kentucky
Grant County,Kentucky,213.77,Grant County_Kentucky
Graves County,Kentucky,318.96,Graves County_Kentucky
Grayson County,Kentucky,223.84,Grayson County_Kentucky
Green County,Kentucky,94.29,Green County_Kentucky
Greenup County,Kentucky,307.2,Greenup County_Kentucky
Hancock County,Kentucky,74.89,Hancock County_Kentucky
Hardin County,Kentucky,918.42,Hardin County_Kentucky
Harlan County,Kentucky,231.7,Harlan County_Kentucky
Harrison County,Kentucky,159.29,Harrison County_Kentucky
Hart County,Kentucky,159.05,Hart County_Kentucky
Henderson County,Kentucky,397.27,Henderson County_Kentucky
Henry County,Kentucky,135.94,Henry County_Kentucky
Hickman County,Kentucky,39.52,Hickman County_Kentucky
Hopkins County,Kentucky,391.49,Hopkins County_Kentucky
Jackson County,Kentucky,114.67,Jackson County_Kentucky
Jefferson County,Kentucky,6587,Jefferson County_Kentucky
Jessamine County,Kentucky,447.86,Jessamine County_Kentucky
Johnson County,Kentucky,196.16,Johnson County_Kentucky
Kenton County,Kentucky,1412.93,Kenton County_Kentucky
Knott County,Kentucky,133.03,Knott County_Kentucky
Knox County,Kentucky,270.32,Knox County_Kentucky
Larue County,Kentucky,120.33,Larue County_Kentucky
Laurel County,Kentucky,515.57,Laurel County_Kentucky
Lawrence County,Kentucky,135.93,Lawrence County_Kentucky
Lee County,Kentucky,56.57,Lee County_Kentucky
Leslie County,Kentucky,89.49,Leslie County_Kentucky
Letcher County,Kentucky,195.2,Letcher County_Kentucky
Lewis County,Kentucky,115.61,Lewis County_Kentucky
