County,State,pop_2016,pop_2017,pop_2018
Williamson County,Illinois,67480,67107,67056
Winnebago County,Illinois,286054,284740,284081
Woodford County,Illinois,38925,38699,38463
Adams County,Indiana,35192,35422,35636
Allen County,Indiana,369778,372210,375351
Bartholomew County,Indiana,82313,82429,82753
Benton County,Indiana,8656,8617,8653
Blackford County,Indiana,12105,12027,11930
Boone County,Indiana,64168,65786,66999
Brown County,Indiana,15000,14999,15234
Carroll County,Indiana,19960,20050,20127
Cass County,Indiana,37953,37905,37955
Clark County,Indiana,115598,116672,117360
Clay County,Indiana,26200,26155,26170
Clinton County,Indiana,32198,32207,32250
Crawford County,Indiana,10582,10536,10558
Daviess County,Indiana,32972,33074,33147
Dearborn County,Indiana,49434,49629,49568
Decatur County,Indiana,26562,26652,26794
DeKalb County,Indiana,42612,42822,43226
Delaware County,Indiana,115676,115389,114772
Dubois County,Indiana,42421,42491,42565
Elkhart County,Indiana,203652,204310,205560
Fayette County,Indiana,23257,23153,23047
Floyd County,Indiana,76697,76970,77781
Fountain County,Indiana,16449,16410,16351
Franklin County,Indiana,22804,22739,22736
Fulton County,Indiana,20110,20010,20092
Gibson County,Indiana,33562,33622,33452
Grant County,Indiana,66680,66282,65936
Greene County,Indiana,32229,32180,32006
Hamilton County,Indiana,315990,323082,330086
Hancock County,Indiana,73728,74940,76351
Harrison County,Indiana,39666,39851,40350
Hendricks County,Indiana,160369,163758,167009
Henry County,Indiana,48348,48247,48271
Howard County,Indiana,82317,82311,82366
Huntington County,Indiana,36288,36239,36240
Jackson County,Indiana,44004,43987,44111
Jasper County,Indiana,33416,33459,33370
Jay County,Indiana,21023,20907,20764
Jefferson County,Indiana,32230,32047,32208
Jennings County,Indiana,27642,27638,27611
Johnson County,Indiana,151575,153922,156225
Knox County,Indiana,37331,37094,36895
Kosciusko County,Indiana,78742,79010,79344
LaGrange County,Indiana,39109,39222,39330
Lake County,Indiana,486199,484766,484411
LaPorte County,Indiana,110254,109911,110007
Lawrence County,Indiana,45588,45625,45668
Madison County,Indiana,129297,129460,129641
Marion County,Indiana,944139,948952,954670
Marshall County,Indiana,46600,46460,46248
Martin County,Indiana,10191,10186,10217
Miami County,Indiana,36041,35827,35567
Monroe County,Indiana,145748,146720,146917
Montgomery County,Indiana,38249,38397,38346
Morgan County,Indiana,69628,69810,70116
Newton County,Indiana,13985,14041,14011
Noble County,Indiana,47426,47384,47532
Ohio County,Indiana,5892,5845,5844
Orange County,Indiana,19460,19404,19489
Owen County,Indiana,20901,20793,20845
Parke County,Indiana,16939,16903,16927
Perry County,Indiana,18977,18988,19102
Pike County,Indiana,12398,12332,12410
Porter County,Indiana,167522,168544,169594
Posey County,Indiana,25634,25566,25540
Pulaski County,Indiana,12598,12518,12469
Putnam County,Indiana,37251,37610,37779
Randolph County,Indiana,25110,24954,24851
Ripley County,Indiana,28398,28485,28523
Rush County,Indiana,16642,16659,16663
St. Joseph County,Indiana,269484,269994,270771
Scott County,Indiana,23699,23853,23878
Shelby County,Indiana,44259,44404,44593
Spencer County,Indiana,20491,20417,20327
Starke County,Indiana,23015,22944,22935
Steuben County,Indiana,34354,34421,34586
Sullivan County,Indiana,20709,20699,20690
Switzerland County,Indiana,10615,10674,10717
Tippecanoe County,Indiana,190504,191670,193048
Tipton County,Indiana,15167,15139,15128
Union County,Indiana,7140,7162,7037
Vanderburgh County,Indiana,181306,180900,180974
Vermillion County,Indiana,15586,15487,15479
Vigo County,Indiana,107851,107681,107386
Wabash County,Indiana,31504,31410,31280
Warren County,Indiana,8164,8198,8263
Warrick County,Indiana,62066,62505,62567
Washington County,Indiana,27734,27788,27943
Wayne County,Indiana,66609,66178,65936
Wells County,Indiana,27854,28014,28206
White County,Indiana,24075,24165,24133
Whitley County,Indiana,33493,33777,34074
Adair County,Iowa,6998,7053,7063
Adams County,Iowa,3692,3663,3645
Allamakee County,Iowa,13850,13804,13832
Appanoose County,Iowa,12505,12363,12437
Audubon County,Iowa,5629,5566,5506
Benton County,Iowa,25633,25633,25642
Black Hawk County,Iowa,133116,132409,132408
Boone County,Iowa,26426,26476,26346
Bremer County,Iowa,24737,24822,24947
Buchanan County,Iowa,21018,21156,21199
Buena Vista County,Iowa,20322,20102,19874
Butler County,Iowa,14705,14582,14539
Calhoun County,Iowa,9808,9749,9699
Carroll County,Iowa,20377,20273,20154
Cass County,Iowa,13161,13126,12930
Cedar County,Iowa,18410,18551,18627
Cerro Gordo County,Iowa,43088,42997,42647
Cherokee County,Iowa,11402,11330,11321
Chickasaw County,Iowa,12096,12036,11964
Clarke County,Iowa,9250,9331,9423
Clay County,Iowa,16296,16153,16134
Clayton County,Iowa,17657,17650,17556
Clinton County,Iowa,47228,46902,46518
Crawford County,Iowa,17118,17119,17158
Dallas County,Iowa,84257,87215,90180
Davis County,Iowa,8884,8991,9017
Decatur County,Iowa,8045,7943,7890
Delaware County,Iowa,17280,17158,17069
Des Moines County,Iowa,39588,39320,39138
Dickinson County,Iowa,17110,17173,17153
Dubuque County,Iowa,96782,97009,96854
Emmet County,Iowa,9572,9414,9253
Fayette County,Iowa,19851,19708,19660
Floyd County,Iowa,15857,15761,15761
Franklin County,Iowa,10183,10159,10124
Fremont County,Iowa,6951,6952,6993
Greene County,Iowa,9000,8969,8981
Grundy County,Iowa,12286,12322,12304
Guthrie County,Iowa,10646,10667,10720
Hamilton County,Iowa,15093,15069,14952
Hancock County,Iowa,10887,10773,10712
Hardin County,Iowa,17173,17007,16868
Harrison County,Iowa,14048,14129,14134
Henry County,Iowa,19829,20060,20067
Howard County,Iowa,9253,9219,9187
Humboldt County,Iowa,9519,9578,9547
Ida County,Iowa,6954,6856,6841
Iowa County,Iowa,16185,16118,16141
Jackson County,Iowa,19387,19368,19432
Jasper County,Iowa,36703,36985,37147
Jefferson County,Iowa,18064,18233,18381
Johnson County,Iowa,146858,149213,151260
Jones County,Iowa,20424,20684,20744
Keokuk County,Iowa,10168,10149,10225
Kossuth County,Iowa,15110,14970,14908
Lee County,Iowa,34459,34243,34055
Linn County,Iowa,222081,224277,225909
Louisa County,Iowa,11212,11203,11169
Lucas County,Iowa,8552,8550,8645
Lyon County,Iowa,11781,11797,11811
Madison County,Iowa,15824,16030,16249
Mahaska County,Iowa,22172,22197,22000
Marion County,Iowa,33143,33105,33407
Marshall County,Iowa,40129,40148,39981
Mills County,Iowa,15035,15053,15063
Mitchell County,Iowa,10642,10570,10569
Monona County,Iowa,8790,8746,8679
Monroe County,Iowa,7831,7815,7790
Montgomery County,Iowa,10128,10111,10003
Muscatine County,Iowa,42925,42892,42929
O'Brien County,Iowa,13933,13812,13840
Osceola County,Iowa,6100,6039,6040
Page County,Iowa,15349,15263,15249
Palo Alto County,Iowa,9028,9059,8929
Plymouth County,Iowa,25192,25091,25095
Pocahontas County,Iowa,6849,6840,6740
Polk County,Iowa,474579,481086,487204
Pottawattamie County,Iowa,93592,93510,93533
Poweshiek County,Iowa,18543,18563,18699
Ringgold County,Iowa,4985,5029,4968
Sac County,Iowa,9812,9796,9719
Scott County,Iowa,172223,172692,173283
Shelby County,Iowa,11653,11577,11578
Sioux County,Iowa,34965,34841,34909
Story County,Iowa,96845,97260,98105
Tama County,Iowa,17191,17055,16904
Taylor County,Iowa,6239,6148,6191
Union County,Iowa,12368,12481,12359
Van Buren County,Iowa,7241,7164,7020
Wapello County,Iowa,35330,35107,35205
Warren County,Iowa,49353,50102,51056
Washington County,Iowa,22137,22257,22141
Wayne County,Iowa,6444,6486,6401
Webster County,Iowa,36746,36643,36277
Winnebago County,Iowa,10597,10588,10518
Winneshiek County,Iowa,20413,20131,20029
Woodbury County,Iowa,102600,102052,102539
Worth County,Iowa,7470,7461,7453
Wright County,Iowa,12835,12749,12690
Allen County,Kansas,12634,12518,12444
Anderson County,Kansas,7815,7860,7878
Atchison County,Kansas,16376,16301,16193
Barber County,Kansas,4673,4583,4472
Barton County,Kansas,26896,26432,26111
Bourbon County,Kansas,14642,14676,14653
Brown County,Kansas,9633,9612,9598
Butler County,Kansas,66628,66836,66765
Chase County,Kansas,2631,2658,2629
Chautauqua County,Kansas,3359,3328,3309
Cherokee County,Kansas,20232,20114,20015
Cheyenne County,Kansas,2674,2690,2660
Clark County,Kansas,2064,1999,2005
Clay County,Kansas,8101,8016,7997
Cloud County,Kansas,9095,8944,8729
Coffey County,Kansas,8333,8228,8233
Comanche County,Kansas,1840,1767,1748
Cowley County,Kansas,35717,35356,35218
Crawford County,Kansas,39078,39031,39019
Decatur County,Kansas,2832,2878,2871
Dickinson County,Kansas,18955,18842,18717
Doniphan County,Kansas,7712,7665,7682
Douglas County,Kansas,119858,120629,121436
Edwards County,Kansas,2901,2893,2849
Elk County,Kansas,2510,2522,2508
Ellis County,Kansas,28948,28769,28710
Ellsworth County,Kansas,6304,6307,6196
Finney County,Kansas,36963,36853,36611
Ford County,Kansas,34594,34288,33888
Franklin County,Kansas,25530,25657,25631
Geary County,Kansas,35136,33633,32594
Gove County,Kansas,2623,2630,2612
Graham County,Kansas,2573,2505,2492
Grant County,Kansas,7689,7518,7336
Gray County,Kansas,6020,5996,6033
Greeley County,Kansas,1277,1233,1227
Greenwood County,Kansas,6109,6094,6055
Hamilton County,Kansas,2629,2620,2607
Harper County,Kansas,5669,5583,5506
Harvey County,Kansas,34736,34413,34210
Haskell County,Kansas,4022,4031,3997
Hodgeman County,Kansas,1834,1849,1818
Jackson County,Kansas,13269,13321,13280
Jefferson County,Kansas,18842,18990,18975
Jewell County,Kansas,2880,2855,2841
Johnson County,Kansas,585921,591284,597555
Kearny County,Kansas,3902,3940,3943
Kingman County,Kansas,7412,7313,7310
Kiowa County,Kansas,2510,2501,2516
Labette County,Kansas,20313,20152,19964
Lane County,Kansas,1593,1546,1560
Leavenworth County,Kansas,80190,81032,81352
Lincoln County,Kansas,3082,3051,3023
Linn County,Kansas,9608,9696,9750
Logan County,Kansas,2818,2834,2844
Lyon County,Kansas,33425,33344,33406
McPherson County,Kansas,28411,28673,28537
Marion County,Kansas,12008,11972,11950
Marshall County,Kansas,9783,9698,9722
Meade County,Kansas,4238,4260,4146
Miami County,Kansas,32916,33413,33680
Mitchell County,Kansas,6224,6191,6150
Montgomery County,Kansas,32820,32388,32120
Morris County,Kansas,5552,5466,5521
Morton County,Kansas,2787,2744,2667
Nemaha County,Kansas,10088,10098,10155
Neosho County,Kansas,16062,16028,15951
Ness County,Kansas,2953,2878,2840
Norton County,Kansas,5494,5436,5430
Osage County,Kansas,15807,15830,15941
Osborne County,Kansas,3592,3556,3475
Ottawa County,Kansas,5908,5834,5802
Pawnee County,Kansas,6717,6670,6562
Phillips County,Kansas,5404,5400,5317
Pottawatomie County,Kansas,23612,23972,24277
Pratt County,Kansas,9554,9513,9378
Rawlins County,Kansas,2500,2485,2508
Reno County,Kansas,63184,62688,62342
Republic County,Kansas,4660,4675,4664
Rice County,Kansas,9788,9598,9531
Riley County,Kansas,75163,73982,73703
Rooks County,Kansas,5123,5067,5013
Rush County,Kansas,3055,3065,3093
Russell County,Kansas,7004,6929,6907
Saline County,Kansas,54977,54529,54401
Scott County,Kansas,4983,4943,4897
Sedgwick County,Kansas,513188,513289,513607
Seward County,Kansas,22878,22199,21780
Shawnee County,Kansas,178426,178173,177499
Sheridan County,Kansas,2487,2531,2533
Sherman County,Kansas,5954,5948,5899
Smith County,Kansas,3656,3636,3603
Stafford County,Kansas,4186,4207,4178
Stanton County,Kansas,2089,2029,1987
Stevens County,Kansas,5661,5573,5559
Sumner County,Kansas,23165,23098,22996
Thomas County,Kansas,7847,7830,7711
Trego County,Kansas,2849,2848,2793
Wabaunsee County,Kansas,6881,6839,6899
Wallace County,Kansas,1502,1526,1503
Washington County,Kansas,5563,5466,5420
Wichita County,Kansas,2130,2130,2105
Wilson County,Kansas,8700,8712,8665
Woodson County,Kansas,3190,3145,3183
Wyandotte County,Kansas,164934,165313,165324
Adair County,Kentucky,19264,19294,19215
Allen County,Kentucky,20738,20921,21122
Anderson County,Kentucky,22146,22518,22663
Ballard County,Kentucky,8045,8021,7979
Barren County,Kentucky,43794,43815,44176
Bath County,Kentucky,12245,12378,12383
Bell County,Kentucky,27231,26904,26569
Boone County,Kentucky,129185,130611,131533
Bourbon County,Kentucky,20147,20132,20184
Boyd County,Kentucky,48109,47759,47240
Boyle County,Kentucky,29933,29958,30100
Bracken County,Kentucky,8367,8277,8239
Breathitt County,Kentucky,13182,12931,12726
Breckinridge County,Kentucky,19988,20151,20388
Bullitt County,Kentucky,79231,80284,81069
Butler County,Kentucky,12683,12798,12772
Caldwell County,Kentucky,12637,12677,12715
Calloway County,Kentucky,38759,38865,39135
Campbell County,Kentucky,92055,92547,93152
Carlisle County,Kentucky,4787,4828,4771
Carroll County,Kentucky,10633,10728,10737
Carter County,Kentucky,27290,27193,27004
Casey County,Kentucky,15768,15794,15888
Christian County,Kentucky,71860,71252,71671
Clark County,Kentucky,35863,35940,36249
Clay County,Kentucky,20643,20273,20105
Clinton County,Kentucky,10208,10239,10206
Crittenden County,Kentucky,9133,9021,8915
Cumberland County,Kentucky,6738,6696,6659
Daviess County,Kentucky,100043,100546,101104
Edmonson County,Kentucky,12081,12248,12274
Elliott County,Kentucky,7490,7508,7508
Estill County,Kentucky,14318,14227,14198
Fayette County,Kentucky,319738,322193,323780
Fleming County,Kentucky,14479,14428,14432
Floyd County,Kentucky,36979,36261,35845
Franklin County,Kentucky,50313,50504,50815
Fulton County,Kentucky,6190,6204,6120
Gallatin County,Kentucky,8711,8745,8832
Garrard County,Kentucky,17387,17497,17560
Grant County,Kentucky,24915,25000,25121
Graves County,Kentucky,37175,37173,37317
Grayson County,Kentucky,26088,26264,26321
Green County,Kentucky,10990,11064,11049
Greenup County,Kentucky,35804,35491,35268
Hancock County,Kentucky,8728,8778,8758
Hardin County,Kentucky,107041,108226,110356
Harlan County,Kentucky,27005,26725,26409
Harrison County,Kentucky,18565,18730,18778
Hart County,Kentucky,18537,18762,18906
Henderson County,Kentucky,46301,45989,45591
Henry County,Kentucky,15844,15994,16106
Hickman County,Kentucky,4606,4523,4421
Hopkins County,Kentucky,45628,45369,45068
Jackson County,Kentucky,13365,13420,13442
Jefferson County,Kentucky,767711,770377,770517
Jessamine County,Kentucky,52198,53281,53920
Johnson County,Kentucky,22862,22571,22386
Kenton County,Kentucky,164676,165410,166051
Knott County,Kentucky,15505,15285,15126
Knox County,Kentucky,31506,31484,31304
Larue County,Kentucky,14024,14211,14307
Laurel County,Kentucky,60089,60299,60669
Lawrence County,Kentucky,15842,15735,15571
Lee County,Kentucky,6593,6590,7033
Leslie County,Kentucky,10430,10309,10143
Letcher County,Kentucky,22751,22328,21899
Lewis County,Kentucky,13474,13358,13257
Lincoln County,Kentucky,24376,24498,24644
Livingston County,Kentucky,9194,9264,9242
Logan County,Kentucky,26670,27014,26989
Lyon County,Kentucky,8084,8113,8009
McCracken County,Kentucky,65340,65397,65346
McCreary County,Kentucky,17542,17423,17408
McLean County,Kentucky,9351,9219,9252
Madison County,Kentucky,89568,91226,92368
Magoffin County,Kentucky,12665,12539,12362
Marion County,Kentucky,19152,19316,19404
Marshall County,Kentucky,31273,31311,31191
Martin County,Kentucky,11961,11495,11323
Mason County,Kentucky,17182,17225,17150
Meade County,Kentucky,27985,28094,28715
Menifee County,Kentucky,6444,6466,6451
Mercer County,Kentucky,21440,21588,21774
Metcalfe County,Kentucky,10007,10079,10030
Monroe County,Kentucky,10539,10611,10718
Montgomery County,Kentucky,27678,27956,28203
Morgan County,Kentucky,13251,13211,13345
Muhlenberg County,Kentucky,31151,30923,30774
Nelson County,Kentucky,45495,45612,45851
Nicholas County,Kentucky,7083,7137,7166
Ohio County,Kentucky,24150,24136,24087
Oldham County,Kentucky,65389,66489,66470
Owen County,Kentucky,10659,10789,10880
Owsley County,Kentucky,4473,4416,4472
Pendleton County,Kentucky,14571,14558,14529
Perry County,Kentucky,27123,26479,26092
Pike County,Kentucky,60422,58862,58402
Powell County,Kentucky,12257,12321,12442
Pulaski County,Kentucky,64025,64357,64623
Robertson County,Kentucky,2125,2132,2135
Rockcastle County,Kentucky,16869,16757,16750
Rowan County,Kentucky,24438,24562,24583
Russell County,Kentucky,17767,17739,17821
Scott County,Kentucky,53401,54790,56031
Shelby County,Kentucky,46762,47495,48518
Simpson County,Kentucky,18005,18105,18529
Spencer County,Kentucky,18234,18471,18794
Taylor County,Kentucky,25442,25562,25549
Todd County,Kentucky,12353,12200,12311
Trigg County,Kentucky,14304,14424,14643
Trimble County,Kentucky,8616,8565,8515
Union County,Kentucky,14796,14640,14505
Warren County,Kentucky,126493,128995,131264
Washington County,Kentucky,12138,11939,12084
Wayne County,Kentucky,20724,20621,20468
Webster County,Kentucky,13209,13071,13111
Whitley County,Kentucky,36103,36129,36242
Wolfe County,Kentucky,7193,7245,7177
Woodford County,Kentucky,26113,26396,26533
Acadia Parish,Louisiana,62793,62514,62190
Allen Parish,Louisiana,25693,25631,25605
Ascension Parish,Louisiana,121520,123028,124672
Assumption Parish,Louisiana,22751,22580,22300
Avoyelles Parish,Louisiana,40997,40871,40462
Beauregard Parish,Louisiana,36966,36847,37253
Bienville Parish,Louisiana,13780,13639,13308
Bossier Parish,Louisiana,125962,127058,127185
Caddo Parish,Louisiana,248885,246034,242922
Calcasieu Parish,Louisiana,200480,202330,203112
Caldwell Parish,Louisiana,10075,9947,9960
Cameron Parish,Louisiana,6895,6926,6968
Catahoula Parish,Louisiana,9866,9833,9608
Claiborne Parish,Louisiana,16147,16002,15944
Concordia Parish,Louisiana,19973,19849,19572
De Soto Parish,Louisiana,27198,27265,27436
East Baton Rouge Parish,Louisiana,446029,443607,440956
East Carroll Parish,Louisiana,7236,7133,7037
East Feliciana Parish,Louisiana,19528,19408,19305
Evangeline Parish,Louisiana,33642,33625,33443
Franklin Parish,Louisiana,20371,20261,20156
Grant Parish,Louisiana,22282,22322,22482
Iberia Parish,Louisiana,73008,72001,70941
Iberville Parish,Louisiana,32869,32920,32721
Jackson Parish,Louisiana,15899,15893,15902
Jefferson Parish,Louisiana,436749,436296,434051
Jefferson Davis Parish,Louisiana,31382,31491,31582
Lafayette Parish,Louisiana,241209,241534,242782
Lafourche Parish,Louisiana,98522,98202,98115
LaSalle Parish,Louisiana,15036,14929,14917
Lincoln Parish,Louisiana,47484,47465,47196
Livingston Parish,Louisiana,139970,138038,139567
Madison Parish,Louisiana,11484,11343,11161
Morehouse Parish,Louisiana,25910,25687,25398
Natchitoches Parish,Louisiana,39005,39038,38659
Orleans Parish,Louisiana,391977,391538,391006
Ouachita Parish,Louisiana,156917,155757,154475
Plaquemines Parish,Louisiana,23331,23367,23410
Pointe Coupee Parish,Louisiana,22124,22212,21940
Rapides Parish,Louisiana,131878,131282,130562
Red River Parish,Louisiana,8621,8519,8477
Richland Parish,Louisiana,20451,20415,20192
Sabine Parish,Louisiana,24068,24009,24032
St. Bernard Parish,Louisiana,45775,46108,46721
St. Charles Parish,Louisiana,52806,52673,52879
St. Helena Parish,Louisiana,10413,10385,10262
St. James Parish,Louisiana,21427,21324,21037
St. John the Baptist Parish,Louisiana,43440,43339,43184
St. Landry Parish,Louisiana,83731,83447,82764
St. Martin Parish,Louisiana,53838,54121,53621
St. Mary Parish,Louisiana,52059,50672,49774
St. Tammany Parish,Louisiana,252389,255820,258111
Tangipahoa Parish,Louisiana,130657,132322,133777
Tensas Parish,Louisiana,4657,4583,4462
Terrebonne Parish,Louisiana,112957,111691,111021
Union Parish,Louisiana,22536,22454,22330
Vermilion Parish,Louisiana,60093,59937,59830
Vernon Parish,Louisiana,51449,50519,48860
Washington Parish,Louisiana,46403,46609,46582
Webster Parish,Louisiana,39748,39274,38798
West Baton Rouge Parish,Louisiana,25906,26207,26427
West Carroll Parish,Louisiana,11129,10975,10982
West Feliciana Parish,Louisiana,15304,15377,15460
Winn Parish,Louisiana,14535,14335,14134
Androscoggin County,Maine,107404,107569,107679
Aroostook County,Maine,68233,67595,67111
Cumberland County,Maine,291138,292344,293557
Franklin County,Maine,30046,29852,29897
Hancock County,Maine,54550,54597,54811
Kennebec County,Maine,121470,121929,122083
Knox County,Maine,39788,39869,39771
Lincoln County,Maine,33973,34190,34342
Oxford County,Maine,57198,57430,57618
Penobscot County,Maine,151282,151190,151096
Piscataquis County,Maine,16876,16801,16800
Sagadahoc County,Maine,35140,35423,35634
Somerset County,Maine,50564,50421,50592
Waldo County,Maine,39436,39800,39694
Washington County,Maine,31609,31540,31490
York County,Maine,202663,204513,206229
Allegany County,Maryland,72055,71386,70975
Anne Arundel County,Maryland,567665,571592,576031
Baltimore County,Maryland,828616,828603,828431
Calvert County,Maryland,91028,91365,92003
Caroline County,Maryland,32836,33108,33304
Carroll County,Maryland,167110,167620,168429
Cecil County,Maryland,102567,102573,102826
Charles County,Maryland,157336,159451,161503
Dorchester County,Maryland,32261,32145,31998
Frederick County,Maryland,247224,250959,255648
Garrett County,Maryland,29371,29261,29163
Harford County,Maryland,250361,251890,253956
Howard County,Maryland,315619,319374,323196
Kent County,Maryland,19662,19437,19383
Montgomery County,Maryland,1040245,1048244,1052567
Prince George's County,Maryland,907939,908801,909308
Queen Anne's County,Maryland,49074,49667,50251
St. Mary's County,Maryland,111689,112413,112664
Somerset County,Maryland,25837,25913,25675
Talbot County,Maryland,37123,37020,36968
Washington County,Maryland,149665,150288,150926
Wicomico County,Maryland,102136,102363,103195
Worcester County,Maryland,51424,51577,51823
Baltimore city,Maryland,615849,609841,602495
Barnstable County,Massachusetts,213446,213482,213413
Berkshire County,Massachusetts,127106,126485,126348
Bristol County,Massachusetts,557848,560571,564022
Dukes County,Massachusetts,17316,17321,17352
Essex County,Massachusetts,780367,785160,790638
Franklin County,Massachusetts,70728,70787,70963
Hampden County,Massachusetts,468168,468268,470406
Hampshire County,Massachusetts,161510,161238,161355
Middlesex County,Massachusetts,1595238,1604994,1614714
Nantucket County,Massachusetts,11124,11270,11327
Norfolk County,Massachusetts,697353,701317,705388
Plymouth County,Massachusetts,511865,514969,518132
Suffolk County,Massachusetts,793322,801455,807252
Worcester County,Massachusetts,820631,825929,830839
Alcona County,Michigan,10356,10323,10362
Alger County,Michigan,9124,9137,9097
Allegan County,Michigan,114995,116433,117327
Alpena County,Michigan,28656,28438,28360
Antrim County,Michigan,23075,23269,23365
Arenac County,Michigan,15132,15033,15041
Baraga County,Michigan,8548,8438,8320
Barry County,Michigan,59790,60629,61157
Bay County,Michigan,104469,104189,103923
Benzie County,Michigan,17538,17604,17753
Berrien County,Michigan,154473,154362,154141
Branch County,Michigan,43490,43423,43622
Calhoun County,Michigan,134370,134358,134487
Cass County,Michigan,51288,51453,51653
Charlevoix County,Michigan,26202,26219,26244
Cheboygan County,Michigan,25448,25398,25413
Chippewa County,Michigan,37718,37714,37517
Clare County,Michigan,30383,30597,30757
Clinton County,Michigan,77619,78549,79332
Crawford County,Michigan,13766,13917,13901
Delta County,Michigan,36200,35896,35857
Dickinson County,Michigan,25487,25428,25383
Eaton County,Michigan,109165,109477,109826
Emmet County,Michigan,32874,33127,33308
Genesee County,Michigan,408901,407673,406892
Gladwin County,Michigan,25153,25237,25337
Gogebic County,Michigan,15342,15338,15096
Grand Traverse County,Michigan,91963,91796,92573
Gratiot County,Michigan,40943,41011,40599
Hillsdale County,Michigan,45763,45843,45749
Houghton County,Michigan,36432,36397,36219
Huron County,Michigan,31480,31271,31166
Ingham County,Michigan,289937,292327,292735
Ionia County,Michigan,64164,64229,64210
Iosco County,Michigan,25276,25122,25081
Iron County,Michigan,11162,11119,11117
Isabella County,Michigan,71311,71125,70562
Jackson County,Michigan,158321,158690,158823
Kalamazoo County,Michigan,261317,263001,264870
Kalkaska County,Michigan,17277,17595,17824
Kent County,Michigan,643927,649231,653786
Keweenaw County,Michigan,2139,2102,2113
Lake County,Michigan,11858,11984,11881
Lapeer County,Michigan,88212,88183,88028
Leelanau County,Michigan,21517,21676,21764
Lenawee County,Michigan,98499,98482,98266
Livingston County,Michigan,188582,189886,191224
Luce County,Michigan,6338,6358,6283
Mackinac County,Michigan,10717,10756,10787
Macomb County,Michigan,868739,871976,874759
Manistee County,Michigan,24416,24421,24528
Marquette County,Michigan,66520,66565,66516
Mason County,Michigan,28822,29023,29100
Mecosta County,Michigan,43195,43358,43545
Menominee County,Michigan,23196,23007,22983
Midland County,Michigan,83384,83245,83209
Missaukee County,Michigan,15028,15031,15113
Monroe County,Michigan,149227,149592,150439
Montcalm County,Michigan,62967,63544,63968
Montmorency County,Michigan,9204,9229,9265
Muskegon County,Michigan,173242,173656,173588
Newaygo County,Michigan,47822,48325,48892
Oakland County,Michigan,1251126,1256182,1259201
Oceana County,Michigan,26320,26458,26625
Ogemaw County,Michigan,20882,20944,20952
Ontonagon County,Michigan,5943,5875,5795
Osceola County,Michigan,23178,23254,23341
Oscoda County,Michigan,8256,8263,8276
Otsego County,Michigan,24436,24569,24665
Ottawa County,Michigan,283907,286922,290494
Presque Isle County,Michigan,12728,12770,12738
Roscommon County,Michigan,23789,23775,23884
Saginaw County,Michigan,192525,191996,190800
St. Clair County,Michigan,159444,159213,159337
St. Joseph County,Michigan,60809,60819,61043
Sanilac County,Michigan,41379,41219,41182
Schoolcraft County,Michigan,7970,8046,8068
Shiawassee County,Michigan,68531,68459,68192
Tuscola County,Michigan,53278,52794,52516
Van Buren County,Michigan,75264,75346,75448
Washtenaw County,Michigan,366488,369208,370963
Wayne County,Michigan,1760095,1756264,1753893
Wexford County,Michigan,33083,33256,33466
Aitkin County,Minnesota,15757,15809,15902
Anoka County,Minnesota,346665,350521,353813
Becker County,Minnesota,33719,34075,34371
Beltrami County,Minnesota,46016,46484,46847
Benton County,Minnesota,39670,40127,40545
Big Stone County,Minnesota,5002,5011,4989
Blue Earth County,Minnesota,66343,66887,67427
Brown County,Minnesota,25262,25172,25111
Carlton County,Minnesota,35554,35534,35837
Carver County,Minnesota,100380,102150,103551
Cass County,Minnesota,29015,29336,29519
Chippewa County,Minnesota,12039,11958,11924
Chisago County,Minnesota,54588,55214,55922
Clay County,Minnesota,62983,63682,63955
Clearwater County,Minnesota,8830,8837,8810
Cook County,Minnesota,5309,5384,5393
Cottonwood County,Minnesota,11376,11277,11277
Crow Wing County,Minnesota,63739,64315,64889
Dakota County,Minnesota,417732,421821,425423
Dodge County,Minnesota,20555,20737,20822
Douglas County,Minnesota,37147,37556,37964
Faribault County,Minnesota,13869,13764,13758
Fillmore County,Minnesota,20902,20982,21058
Freeborn County,Minnesota,30409,30537,30444
Goodhue County,Minnesota,46252,46334,46403
Grant County,Minnesota,5933,5938,6021
Hennepin County,Minnesota,1235875,1248246,1259428
Houston County,Minnesota,18694,18662,18578
Hubbard County,Minnesota,20700,21001,21332
Isanti County,Minnesota,38777,39583,39966
Itasca County,Minnesota,45164,45161,45108
Jackson County,Minnesota,9967,9988,9911
Kanabec County,Minnesota,15903,16054,16207
Kandiyohi County,Minnesota,42636,42715,42855
Kittson County,Minnesota,4316,4259,4248
Koochiching County,Minnesota,12609,12526,12440
Lac qui Parle County,Minnesota,6737,6695,6658
Lake County,Minnesota,10524,10516,10658
Lake of the Woods County,Minnesota,3790,3736,3758
Le Sueur County,Minnesota,27720,28151,28494
Lincoln County,Minnesota,5704,5682,5673
Lyon County,Minnesota,26000,25953,25629
McLeod County,Minnesota,35767,35883,35873
Mahnomen County,Minnesota,5490,5579,5519
Marshall County,Minnesota,9371,9369,9390
Martin County,Minnesota,19902,19858,19785
Meeker County,Minnesota,23052,23041,23141
Mille Lacs County,Minnesota,25583,25877,26139
Morrison County,Minnesota,32907,33100,33169
Mower County,Minnesota,39469,39699,40011
Murray County,Minnesota,8308,8353,8276
Nicollet County,Minnesota,33732,34058,34220
Nobles County,Minnesota,21963,21810,21924
