FromBus,ToBus,TxID,kV_fbus,kV_tbus
4412,53952,78454b,22.0,46.0
45015,45031,47282a,100.0,100.0
54610,54617,57760,69.0,69.0
29939,18035,32559d,115.0,115.0
52454,34478,27206d,100.0,100.0
50263,50251,45831a,100.0,100.0
17052,14864,4398,0.0,0.0
42275,42276,13618c,230.0,115.0
29720,29677,7143a,230.0,230.0
25255,25256,44284e,500.0,115.0
20331,20365,21917d,115.0,138.0
42517,42505,1670a,161.0,161.0
53676,53706,15780c,161.0,161.0
29248,29794,5035a,115.0,500.0
44883,35999,2563b,34.5,100.0
52150,52165,43002c,230.0,230.0
41165,41166,38714a,138.0,138.0
53591,53592,44408a,115.0,115.0
44039,44043,9895b,138.0,138.0
17232,17233,41941d,138.0,138.0
9573,9574,32659d,115.0,115.0
5161,51694,79103,4.16,115.0
3083,46237,77228,6.9,115.0
2690,59504,76870,4.16,69.0
58093,58095,56236e,69.0,69.0
24947,15572,23584d,115.0,230.0
3068,61666,77214,4.16,69.0
53561,30346,45077a,69.0,115.0
26008,26021,16252,138.0,138.0
26737,26725,48814a,69.0,69.0
34199,24443,3602b,115.0,115.0
25809,25810,37395c,100.0,138.0
29283,27203,33180,115.0,115.0
1192,13339,75566,4.16,69.0
17845,24927,20183c,69.0,69.0
4702,44084,78713,6.9,138.0
9507,27833,6365b,115.0,115.0
15316,22871,49586a,115.0,69.0
21101,21102,20050b,230.0,115.0
11982,11980,5267b,69.0,69.0
51547,34750,21586a,230.0,230.0
40397,40384,7660,138.0,138.0
50221,50216,12032a,138.0,138.0
35624,35536,2229b,345.0,69.0
49875,49883,14010,138.0,69.0
8682,15269,82096,4.16,57.1
53591,53592,51978f,115.0,115.0
65050,65052,57367,0.0,0.0
65579,59863,57968b,115.0,115.0
9329,35610,37268a,161.0,161.0
18623,18632,2633a,115.0,115.0
63944,63972,57930a,46.0,230.0
9434,32024,1126a,230.0,69.0
14389,14384,17296,69.0,115.0
36062,36057,4797,115.0,115.0
14087,14062,25635,115.0,115.0
43504,43505,24893b,115.0,345.0
4313,23897,78366a,6.9,138.0
44462,44495,2586,161.0,161.0
62417,62415,13558c,161.0,161.0
21245,21246,7563c,115.0,115.0
9953,9966,6088,345.0,230.0
18781,26181,50177b,345.0,69.0
21656,21089,19603,69.0,230.0
60840,60867,56488d,69.0,69.0
33234,38962,47625a,69.0,100.0
32979,32966,4834,138.0,138.0
3986,27722,78063b,13.8,138.0
58056,58093,56237a,69.0,69.0
25500,25501,25779a,69.0,69.0
42218,14569,34365b,100.0,230.0
58641,58639,54372f,0.0,0.0
19050,34447,28917d,230.0,230.0
62374,62375,37243a,161.0,161.0
53013,53050,22961,115.0,138.0
61644,61645,56591a,115.0,69.0
52902,37634,23658,69.0,69.0
54454,54455,58133d,46.0,46.0
54527,54528,57738a,345.0,345.0
32635,32636,6784b,115.0,138.0
9084,9087,10067a,115.0,115.0
27920,9767,37409a,230.0,500.0
50878,50916,40412c,230.0,230.0
21241,30034,11616a,69.0,115.0
29761,28481,38642,138.0,138.0
45599,51256,25297c,0.0,230.0
30610,50675,2378b,345.0,69.0
39576,39577,30480,69.0,138.0
20848,29359,30239b,138.0,69.0
53489,36748,14302c,100.0,100.0
15208,15202,48299e,161.0,100.0
37581,37611,39574,0.0,0.0
38805,38828,50081b,115.0,115.0
10587,10596,22017,0.0,115.0
17365,17364,48537,345.0,138.0
27697,27686,44728,100.0,230.0
39000,38999,20322,230.0,115.0
18395,18373,15115c,345.0,345.0
3167,44104,77304,6.9,138.0
47256,47361,73109,115.0,60.0
6545,56626,80292,22.0,138.0
52870,52871,37255b,161.0,161.0
29911,21254,32487b,230.0,0.0
7761,33762,81352,4.16,230.0
24933,24932,5983c,100.0,100.0
6208,48148,80020,4.16,66.0
59653,59641,56132c,69.0,69.0
23015,13364,43685a,115.0,115.0
25539,21257,957h,345.0,345.0
13743,13745,11240,69.0,115.0
14072,14073,4761b,0.0,100.0
6990,11503,80674,6.9,115.0
65692,65710,59466a,46.0,230.0
58657,58650,54314c,230.0,230.0
33824,29067,1903b,230.0,230.0
35289,35288,41261c,115.0,115.0
36060,36061,13774c,230.0,230.0
31541,19006,43773b,138.0,345.0
53699,53700,38145,115.0,115.0
11413,11424,47071b,115.0,161.0
50170,50171,9308a,115.0,115.0
52722,52700,1459b,69.0,138.0
3654,48487,77748,6.9,500.0
42546,42519,34368g,161.0,138.0
53792,40344,23986,161.0,230.0
634,15763,75087,6.9,161.0
25592,25593,13230d,138.0,0.0
40761,40778,45812a,69.0,69.0
34015,19506,4599,230.0,0.0
10092,10086,4885,0.0,230.0
32056,9424,4184a,138.0,69.0
3864,45925,77944,22.0,60.0
31187,31188,2617b,69.0,69.0
22619,22733,34875,138.0,230.0
61774,61775,1442a,230.0,69.0
62499,31318,47903f,138.0,138.0
52107,14280,2654,230.0,230.0
17086,17087,24735,0.0,0.0
42116,34535,43481c,115.0,69.0
3523,47452,77632,6.9,66.0
42892,42893,36316c,115.0,115.0
33334,33335,19406b,115.0,100.0
24667,24668,35206,115.0,115.0
19523,19524,16551d,138.0,69.0
41865,42753,27721b,230.0,138.0
42505,42506,1670b,161.0,161.0
41049,53692,47387a,161.0,161.0
16246,22141,20792e,115.0,345.0
32855,32858,17777c,138.0,69.0
62143,62142,24006,0.0,0.0
17186,17179,1991,69.0,138.0
3203,48903,77339,6.9,120.0
42352,42378,14139b,69.0,161.0
32283,32289,9902a,115.0,115.0
43107,38650,10101,0.0,0.0
19760,33252,13193b,115.0,115.0
22814,25866,9974,115.0,69.0
36638,23669,47159,115.0,115.0
8572,20865,82002,4.16,69.0
20276,20277,23606a,345.0,69.0
38550,38549,12905,0.0,0.0
30184,30181,45989b,138.0,138.0
61910,61974,2175,345.0,38.0
22129,25086,44192d,138.0,115.0
20351,20352,50258d,115.0,138.0
52484,38065,29787f,230.0,69.0
64715,64838,56736a,115.0,115.0
14480,14483,26875c,0.0,230.0
49991,49993,5420c,138.0,138.0
903,11142,75316,4.16,230.0
8880,37454,14593c,115.0,138.0
53693,41340,47823,161.0,0.0
7549,18308,81180,0.69,115.0
17686,32774,21651,69.0,0.0
15630,24903,47198,161.0,69.0
36047,36048,139b,115.0,115.0
10775,17268,12315b,138.0,138.0
1821,17929,76145a,22.0,345.0
50613,50617,15624,0.0,0.0
52919,52920,14390e,115.0,115.0
15949,15950,31913b,161.0,161.0
50280,50281,27034,115.0,69.0
54734,54753,58150,345.0,138.0
5941,11693,79780,6.9,230.0
59862,59861,54645,69.0,69.0
33898,33900,44016a,161.0,69.0
43774,43788,44538b,69.0,69.0
58063,58064,56231e,69.0,69.0
43661,43660,46137,100.0,161.0
64907,64908,57481b,115.0,115.0
8631,35040,82052,4.16,115.0
15299,15257,32512a,138.0,138.0
2430,22260,76635,6.9,115.0
37196,37197,10561a,161.0,161.0
58865,58867,59272d,0.0,0.0
61415,61416,59819,138.0,69.0
9290,9295,21222a,100.0,100.0
9958,9967,51959d,115.0,230.0
217,46777,74737,13.8,230.0
43053,43054,10885b,0.0,0.0
31451,31449,20344a,345.0,345.0
27048,27050,27100f,230.0,69.0
65071,65073,57371b,69.0,69.0
18451,18452,2260a,115.0,115.0
22934,22935,603,69.0,115.0
11706,11739,3306b,100.0,138.0
7879,16090,81450,0.69,115.0
13675,17717,18405b,69.0,69.0
17510,27744,14397c,115.0,345.0
62355,62402,28174,115.0,138.0
50997,16178,3237,0.0,0.0
25565,21264,12470b,138.0,138.0
30807,49935,10510a,161.0,138.0
39152,39134,44182d,230.0,230.0
17853,20850,31029b,69.0,69.0
61221,61220,59630a,115.0,115.0
7668,15288,81278,4.16,230.0
25696,25697,25366,138.0,69.0
21977,8913,56243b,115.0,69.0
1268,39490,75642,6.9,100.0
29969,21169,16749c,69.0,115.0
139,47039,74662,6.9,115.0
21743,21742,4017b,115.0,115.0
3263,65343,77394,6.9,115.0
1271,41907,75645,6.9,115.0
62343,62335,35204a,161.0,161.0
2045,62158,76326,6.9,345.0
62544,27390,13136d,345.0,345.0
820,13523,75246,6.9,138.0
52966,16518,9123a,138.0,138.0
29099,33823,26863a,115.0,115.0
41199,41200,27752a,100.0,0.0
42958,42891,30249d,161.0,161.0
43699,39440,25280b,138.0,115.0
40778,38757,41414b,69.0,138.0
1776,30700,76102b,22.0,765.0
20559,17696,26858,345.0,138.0
52002,24841,42368,230.0,115.0
38992,39038,46579a,100.0,230.0
31615,42061,28966a,138.0,230.0
53668,53667,9066b,100.0,100.0
45072,45154,35115a,161.0,161.0
64775,64776,58247e,115.0,115.0
52000,51999,40746a,138.0,115.0
50557,50558,34935e,138.0,230.0
6758,38352,80472,4.16,161.0
13432,23029,42496,230.0,230.0
26897,32484,49902,0.0,69.0
31227,45044,46660b,115.0,69.0
58844,58847,54398b,115.0,57.0
50984,50985,35464b,115.0,115.0
35474,35475,27911,161.0,161.0
27982,27984,2215a,230.0,230.0
811,21425,75237,6.9,115.0
18759,18758,31001,69.0,69.0
33976,34201,40391,161.0,0.0
32448,18004,1511b,138.0,138.0
18008,32368,48610c,69.0,115.0
41009,45356,17064a,161.0,161.0
11189,11222,46085a,230.0,230.0
35575,35576,39428,161.0,161.0
27295,19946,9707b,138.0,230.0
25652,25653,5240c,69.0,69.0
6506,11483,80257,4.16,69.0
44518,44517,50821f,115.0,115.0
1425,28322,75793,6.9,69.0
758,11783,75189,6.9,115.0
20402,33330,7035d,138.0,100.0
42546,42494,29614b,161.0,161.0
32420,32419,49291b,345.0,69.0
9638,32889,17910b,69.0,230.0
24584,24544,25714,161.0,69.0
10795,17485,35722a,115.0,69.0
26066,26085,35202,115.0,115.0
29938,29946,30278c,115.0,115.0
19378,19379,33956a,69.0,69.0
37565,44791,43643,0.0,115.0
27898,27938,28058,500.0,115.0
27567,9464,3923b,69.0,115.0
9842,9843,47175a,230.0,100.0
22539,22542,32350,230.0,138.0
10388,10378,47259,138.0,0.0
20758,28023,11227a,138.0,138.0
2752,17943,76926b,6.9,115.0
2018,60284,76306,6.9,69.0
38578,37066,21929,69.0,161.0
37943,37941,5886a,115.0,115.0
54072,54073,54670b,138.0,230.0
34252,34262,10220a,69.0,100.0
2683,48607,76865,6.9,115.0
51281,51280,3741b,115.0,345.0
35617,35616,29929d,161.0,138.0
1359,60770,75731,6.9,230.0
59443,59421,54704,69.0,69.0
41441,41439,47323b,115.0,115.0
41671,23991,3012,345.0,345.0
41893,41994,5104,69.0,138.0
51740,51744,22550,69.0,115.0
65050,65052,57445a,0.0,0.0
10469,10452,21839b,0.0,115.0
16593,16595,17490g,115.0,138.0
3021,12589,77174,6.9,230.0
17293,21871,21192e,138.0,115.0
10154,10153,22184,0.0,0.0
17577,10786,37616d,115.0,345.0
29549,9759,13020e,230.0,230.0
21361,29852,570n,138.0,138.0
61959,61967,47585c,69.0,69.0
43173,43172,3264a,161.0,115.0
12411,12410,39238,115.0,34.5
12990,12994,15395g,138.0,345.0
5473,40557,79365b,6.9,115.0
17963,17962,17321a,115.0,115.0
22834,22842,3552,138.0,0.0
54046,54062,59536a,345.0,115.0
14387,14407,9337b,138.0,115.0
24729,24736,26880,115.0,69.0
20738,21609,33879,69.0,345.0
17890,32163,40106a,115.0,345.0
18070,18071,30605b,230.0,230.0
45551,45491,41294,161.0,161.0
4250,56872,78308,4.16,138.0
29699,20681,37045,138.0,69.0
3245,49571,77376,6.9,92.0
36906,36971,37235a,69.0,138.0
61787,17706,27388a,138.0,161.0
28675,28674,39627a,69.0,69.0
1690,12939,76033,6.9,115.0
37882,51975,9920a,115.0,115.0
32501,17662,5434,115.0,115.0
26169,26171,9073d,69.0,161.0
25444,41514,32575,138.0,138.0
3732,48883,77820,13.8,69.0
50042,50061,2041,230.0,100.0
17227,17228,43441c,161.0,161.0
8557,12890,81987,4.16,69.0
8053,47089,81606,22.0,500.0
42479,42538,23537b,115.0,138.0
64775,64776,58250d,115.0,115.0
53653,40345,30421,161.0,100.0
27782,27781,8289a,230.0,345.0
1854,21132,76177,22.0,115.0
5174,49119,79114,0.69,66.0
10842,10841,14755b,138.0,161.0
4757,29622,78764,6.9,230.0
61584,61585,56218c,69.0,69.0
53338,53360,26780b,138.0,345.0
8862,20820,37940c,138.0,138.0
37299,37313,18665a,138.0,138.0
54528,54529,57732e,345.0,345.0
9877,10305,34595,69.0,0.0
33230,38961,28674e,115.0,69.0
40041,44084,36859a,138.0,138.0
45191,45189,45951,69.0,230.0
14996,14973,40531,100.0,69.0
11078,11075,21712a,115.0,138.0
35883,42569,35904b,230.0,100.0
29040,29122,22387,230.0,230.0
41397,41497,15344a,0.0,0.0
7780,26078,81366,0.69,115.0
19905,35223,7672a,345.0,345.0
21236,9779,42523d,138.0,138.0
26079,26078,47607b,115.0,115.0
58681,58682,59685c,115.0,115.0
59096,59095,57256,69.0,69.0
31338,16673,6134a,230.0,138.0
63753,63759,57991c,69.0,69.0
58099,58006,54559,69.0,69.0
34787,51557,33695b,69.0,115.0
22099,13716,41720b,115.0,115.0
349,26502,74858,6.9,115.0
2444,25203,76647,13.8,345.0
44347,33940,36692a,161.0,161.0
1451,31729,75818,6.9,100.0
5019,49334,78989,13.8,66.0
39973,40001,14156c,138.0,115.0
34972,40782,43769,0.0,115.0
30073,30074,19968a,161.0,161.0
5963,48871,79799,4.16,115.0
54384,54386,59414g,0.0,0.0
9237,34938,7164c,115.0,161.0
15505,15499,40253b,115.0,115.0
27317,27316,34590c,69.0,138.0
34287,34304,11016,69.0,100.0
22936,12721,46043,230.0,230.0
8240,30201,81755,4.16,345.0
18679,18683,5292b,230.0,230.0
25747,21187,16496b,115.0,115.0
53594,53595,35449c,115.0,138.0
25599,25600,45620b,0.0,0.0
54299,54312,59195b,46.0,46.0
13986,52069,1142a,230.0,115.0
38781,36942,14915a,500.0,500.0
6493,21078,80247,4.16,69.0
20006,20047,11264,345.0,345.0
21333,25825,51956,69.0,69.0
65383,65216,56839,69.0,138.0
1493,35351,75855,22.0,161.0
14293,50999,2428,138.0,138.0
21086,21687,14235c,138.0,161.0
65151,65152,57435a,500.0,500.0
23943,37901,6937,0.0,0.0
34756,41873,11316,230.0,230.0
23832,23833,5804b,0.0,0.0
52387,52334,3297,230.0,161.0
31768,31815,32094b,230.0,115.0
20670,33552,33328a,161.0,138.0
50180,50154,42650c,115.0,115.0
44115,9315,46776a,69.0,345.0
19496,37920,6855a,138.0,138.0
27721,27722,20284,115.0,138.0
37060,40476,22333,69.0,69.0
15023,25131,48484b,138.0,69.0
6855,15091,80563,4.16,138.0
23060,23061,33169a,69.0,69.0
58085,58087,56922c,115.0,230.0
773,28374,75203a,6.9,115.0
28838,28361,36659,230.0,69.0
34078,12004,14328b,69.0,230.0
63726,63727,57989b,138.0,138.0
60905,60928,54497a,66.0,69.0
10786,17571,37616e,345.0,100.0
25392,41480,9162a,115.0,161.0
15890,15875,41578b,69.0,138.0
35351,42541,19732g,161.0,138.0
44319,44321,16329c,115.0,138.0
58682,58683,59685d,115.0,46.0
5059,11537,79011,13.8,115.0
21305,21302,30880c,230.0,138.0
27438,28952,25362,138.0,69.0
50703,50704,50244b,100.0,100.0
16048,16055,41971a,115.0,69.0
50568,35904,26316a,230.0,230.0
65154,65165,57443,500.0,500.0
15538,15540,14137c,69.0,69.0
14497,14519,2066b,115.0,115.0
61586,61585,54560b,115.0,69.0
24378,43580,31147f,138.0,138.0
37537,37538,2897b,161.0,161.0
30969,17482,27720a,69.0,115.0
54695,54696,59334c,115.0,69.0
17277,17278,36930c,138.0,345.0
22556,22557,40900,230.0,230.0
49866,49867,44096b,138.0,100.0
3852,27176,77932,6.9,115.0
43504,33977,7335b,115.0,69.0
21684,21685,46700d,161.0,138.0
17271,21871,10413b,115.0,115.0
34941,9237,4450b,138.0,115.0
1279,51175,75653,6.9,115.0
39816,52514,27540a,230.0,161.0
21655,21654,47509a,138.0,138.0
41398,25419,25414b,0.0,69.0
9165,52583,5043b,138.0,500.0
40296,40300,23889,69.0,69.0
40174,37761,29075a,161.0,100.0
29716,29670,8258,0.0,138.0
16423,16421,48846a,115.0,100.0
18632,18629,509d,115.0,100.0
51386,51387,48608,345.0,0.0
64994,64995,57471d,230.0,230.0
54688,54673,56440a,115.0,69.0
13322,13320,43659a,0.0,0.0
11329,11325,2706a,345.0,115.0
30828,53720,26508b,138.0,138.0
29562,29552,39451b,69.0,69.0
18980,33261,33637a,138.0,115.0
7890,20440,81461,4.16,69.0
54469,54470,58134j,115.0,115.0
59380,59344,54852,45.0,69.0
61946,36466,41923a,230.0,230.0
12429,21724,22246a,69.0,69.0
65191,65195,57383a,0.0,0.0
40076,40077,3672,138.0,138.0
40941,40943,20452,115.0,115.0
6919,49648,80619,4.16,1000.0
9892,9895,42341,138.0,69.0
8200,48007,81722b,4.16,138.0
31920,31943,20088a,161.0,161.0
35004,34971,2015,115.0,161.0
59288,59241,54799,69.0,230.0
10877,10867,51094,0.0,161.0
10579,22265,1764a,115.0,69.0
1221,14676,75595,6.9,115.0
59974,59977,54406b,230.0,230.0
11190,11166,25915b,230.0,230.0
89,41842,74619,6.9,115.0
59456,59471,58010,69.0,69.0
42543,35349,10011c,138.0,138.0
40346,53709,28784b,161.0,161.0
44284,44351,18281c,115.0,0.0
14404,14383,8514,0.0,0.0
28868,28865,21054,138.0,115.0
25874,25882,23076c,69.0,69.0
26465,26466,7562a,0.0,0.0
14488,14468,34984b,115.0,115.0
65258,65271,57700b,230.0,69.0
34149,34150,27740e,138.0,69.0
32533,17655,27554a,138.0,115.0
44043,44063,13610,138.0,230.0
64919,64920,57869,0.0,0.0
38162,18225,25543b,115.0,500.0
9112,13508,7020e,161.0,115.0
34564,43556,15308,69.0,230.0
64275,58371,54432b,115.0,230.0
62141,62140,42774,0.0,115.0
53071,22979,30425,138.0,161.0
15858,60745,50269c,115.0,69.0
53585,53607,28907,138.0,115.0
25645,25644,28728,115.0,115.0
8505,46324,81943,4.16,115.0
21344,29863,49462e,230.0,230.0
41056,53690,28003,161.0,161.0
28778,28775,47392e,138.0,115.0
14493,14478,46405,0.0,0.0
53276,62111,43549b,138.0,69.0
21180,18063,33564a,115.0,115.0
59738,59739,59424,138.0,115.0
13452,25211,21363,120.0,115.0
54706,54754,58153c,69.0,345.0
51137,29850,39773a,345.0,345.0
37840,39853,43080c,115.0,230.0
3815,45581,77898a,6.9,115.0
36993,37015,46884d,230.0,230.0
19184,19185,47732b,115.0,115.0
5635,47654,79511b,0.69,66.0
16701,16703,39979b,115.0,0.0
41982,52984,18142d,69.0,138.0
22013,22014,45280b,138.0,138.0
19339,19626,2766a,115.0,115.0
30810,43869,35760b,230.0,161.0
33536,33535,39117c,69.0,69.0
44613,27137,20030b,500.0,115.0
58071,58072,56231c,69.0,230.0
38759,36884,21018,138.0,69.0
4162,64303,78229,13.8,115.0
64171,64155,56771a,115.0,69.0
52316,52317,44909b,0.0,0.0
45670,53313,43471b,138.0,0.0
10330,10335,45991e,230.0,115.0
13081,13080,40557a,69.0,161.0
800,18476,75228,6.9,69.0
51822,30822,27656a,0.0,69.0
18454,18455,30857c,69.0,69.0
38445,38504,38324a,138.0,138.0
49984,51841,20695a,161.0,161.0
52001,51998,19211,115.0,115.0
29675,29676,45463b,138.0,0.0
60904,61010,54455b,69.0,230.0
6494,54487,80248,4.16,115.0
8812,58313,82208,4.16,115.0
15567,18556,22818b,115.0,230.0
37437,44605,27800a,115.0,230.0
17765,20973,31475,230.0,69.0
12424,12285,10872,230.0,115.0
11710,11708,41889,115.0,115.0
39166,39165,38141a,230.0,230.0
50878,50916,40243c,230.0,230.0
13343,13368,17194a,230.0,115.0
13089,13091,1802,115.0,345.0
58150,58158,56554,69.0,69.0
2613,20006,76801,4.16,345.0
22829,25887,12507,500.0,500.0
16429,16426,40371b,345.0,345.0
36840,38873,14906c,230.0,230.0
20369,20370,696a,115.0,115.0
59954,59923,61247a,69.0,69.0
31992,31993,43058b,500.0,500.0
61931,61932,39513i,161.0,161.0
39182,39183,48749c,230.0,100.0
1470,12069,75837b,6.9,69.0
14274,51108,29727a,230.0,100.0
39681,51427,1c,161.0,115.0
44491,44489,33876a,161.0,161.0
58214,58216,59887b,115.0,115.0
45455,23575,41159,115.0,115.0
17571,17572,35499b,100.0,100.0
45359,41027,39023,161.0,161.0
40960,40948,41813,115.0,100.0
14396,14411,3461,345.0,345.0
58127,58131,56548b,69.0,69.0
14150,34553,4866a,115.0,230.0
21961,14859,41306b,138.0,138.0
53281,53282,42968,230.0,100.0
14325,33970,47294a,0.0,161.0
45346,40148,27987b,161.0,115.0
6889,47977,80595,0.69,230.0
17161,17159,15010a,100.0,230.0
42435,39618,14992,500.0,0.0
18126,30010,37952d,115.0,115.0
7532,49732,81164,4.16,66.0
133,49415,74658,6.9,230.0
18555,18556,33494b,115.0,230.0
27826,9598,47890a,161.0,230.0
51445,36419,1155c,230.0,230.0
43282,43255,12086,345.0,115.0
27691,27693,2888a,230.0,230.0
51333,21320,3788e,69.0,138.0
2945,16386,77102,4.16,115.0
22802,25894,22047,0.0,0.0
31694,45654,16210b,115.0,69.0
49983,51840,27169,161.0,100.0
60003,60005,60047a,110.0,0.0
59405,59407,57953,345.0,345.0
30034,30036,11616b,115.0,69.0
5532,16995,79416,6.9,69.0
29464,29523,43713,69.0,100.0
29162,29180,21166a,69.0,69.0
31425,31438,48874,115.0,345.0
42715,42714,42495b,69.0,115.0
612,15802,75078b,13.8,115.0
29661,29662,4004a,100.0,100.0
51904,51912,9604c,230.0,100.0
21647,20860,30234a,69.0,115.0
18381,18382,21864,115.0,161.0
59938,59939,54046c,500.0,115.0
24296,23915,36421,0.0,230.0
32494,17654,8429,161.0,161.0
9555,9554,30202b,115.0,115.0
50260,50245,41625b,230.0,230.0
29753,29754,33190c,100.0,69.0
46289,48560,74443b,0.0,115.0
34008,34009,24191d,69.0,161.0
23966,19453,15951c,115.0,69.0
22080,17226,24803c,100.0,100.0
51514,19125,30629,115.0,69.0
19411,14064,1789a,230.0,69.0
33043,33143,12991,0.0,69.0
64906,64957,59132,230.0,230.0
61228,61226,56425a,115.0,69.0
36929,36961,36271a,138.0,230.0
31819,31788,21382,230.0,230.0
17792,21680,7530c,100.0,69.0
7370,23649,81014,4.16,115.0
16282,16283,26305a,138.0,115.0
54751,54806,54584,69.0,69.0
14147,14140,18121b,69.0,230.0
14191,14193,44101a,115.0,69.0
4568,61116,78598,4.16,115.0
26161,26176,4250,115.0,115.0
17469,27745,50123b,115.0,115.0
5697,47332,79569,0.69,66.0
8072,14755,81622,4.16,69.0
14707,24964,32657b,138.0,69.0
60920,60924,54492,69.0,66.0
59924,59928,61258,115.0,115.0
42062,42066,51890a,115.0,69.0
22989,22990,3398a,115.0,115.0
9847,21060,23577b,161.0,230.0
20309,20307,12976,138.0,69.0
4275,33339,78331,6.9,161.0
26956,26957,38540,115.0,138.0
41252,53648,13726b,161.0,115.0
7151,49016,80819,4.16,115.0
9596,27778,21444g,115.0,115.0
32656,32655,49884b,115.0,138.0
27961,27960,50630,230.0,230.0
37350,37351,45147a,69.0,69.0
15538,15540,18727c,69.0,69.0
40588,40620,16537,138.0,115.0
5765,38408,79632,6.9,138.0
34165,43613,11024,115.0,115.0
33950,62398,654a,0.0,69.0
4049,34822,78122,13.8,230.0
62541,62548,34753a,100.0,100.0
21383,21384,7345,115.0,0.0
18715,18690,49555c,69.0,138.0
6961,39300,80654a,0.69,115.0
40043,37791,29447,138.0,138.0
10753,10754,38658a,100.0,345.0
44711,44759,19000a,230.0,230.0
44392,44371,47852a,115.0,161.0
4058,26922,78131b,22.0,69.0
39476,39477,10236a,138.0,161.0
2597,53638,76786c,6.9,230.0
60841,60842,59458c,69.0,69.0
5480,11501,79371,6.9,345.0
4053,34551,78126,22.0,230.0
15335,18842,28569e,138.0,230.0
59221,59217,54843b,345.0,345.0
32088,32077,28812,0.0,161.0
5492,11503,79381,6.9,115.0
43149,43148,23723,115.0,500.0
27130,27129,10836b,115.0,115.0
52255,36812,2829a,161.0,161.0
17232,17233,19249a,138.0,138.0
28508,28507,46431b,138.0,230.0
26069,26061,379a,230.0,345.0
9428,32786,7534,230.0,0.0
2976,18445,77130,4.16,138.0
65246,65247,58064a,0.0,0.0
45626,45629,28111b,138.0,115.0
9439,30570,50983,138.0,138.0
20972,24929,33293a,69.0,69.0
4554,22963,78585a,4.16,69.0
20984,22866,487a,230.0,69.0
36891,36890,47887,138.0,345.0
19889,19890,4914a,138.0,138.0
39078,39093,44808d,115.0,115.0
17682,9399,14090a,138.0,230.0
31620,53456,22041f,69.0,100.0
19480,19479,7366a,138.0,138.0
17578,17579,14677f,115.0,69.0
20299,20286,13747b,69.0,69.0
39127,39151,23952,0.0,230.0
4376,48268,78420,6.9,66.0
12296,12297,2713b,115.0,100.0
59961,59962,61242,69.0,69.0
1464,34124,75831,6.9,230.0
41209,25425,33045,161.0,69.0
38964,38965,44010a,100.0,100.0
13734,41513,28012,138.0,138.0
3985,48192,78062,22.0,161.0
64977,64979,57925a,0.0,0.0
36474,32079,20429e,500.0,161.0
40022,39973,33326d,115.0,138.0
43033,43003,47546,138.0,138.0
12501,17907,15348c,69.0,0.0
44561,44566,9461,115.0,115.0
41394,41413,39413c,115.0,138.0
41589,14524,15553c,69.0,0.0
15909,15871,13743,138.0,138.0
17580,17581,4324b,138.0,138.0
42474,42475,38841c,115.0,115.0
9423,9426,35303b,100.0,115.0
15527,17864,37077,115.0,230.0
24451,34149,26465b,161.0,138.0
31992,31993,48578b,500.0,500.0
30416,30386,45508b,100.0,115.0
30071,30070,19968d,161.0,115.0
44414,39434,31581,161.0,69.0
27874,9505,108c,69.0,115.0
42276,42291,781a,115.0,138.0
34604,43604,15982,138.0,138.0
40755,40760,43984c,138.0,138.0
17245,17244,38050a,138.0,345.0
17536,26991,12711b,100.0,345.0
35477,35476,33829,161.0,115.0
13651,13653,1236b,69.0,100.0
54655,54473,57732q,345.0,345.0
24963,15571,45546a,230.0,230.0
12322,12316,15078a,115.0,161.0
30350,53641,10551d,230.0,115.0
15504,17842,39386a,69.0,115.0
43526,19525,42759a,230.0,230.0
16589,16590,47789a,161.0,115.0
60895,60862,54520b,69.0,66.0
57898,57896,58389,69.0,115.0
4624,40161,78646,13.8,161.0
2809,9819,76978,4.16,69.0
21192,25797,45641e,115.0,115.0
54386,54381,59406b,0.0,46.0
26703,26314,6337,161.0,69.0
39043,39011,3946a,69.0,69.0
21209,18070,30605a,115.0,230.0
53593,53573,29506b,230.0,0.0
36983,36982,4255,38.0,69.0
42561,42589,15437b,161.0,161.0
20462,20419,1254,115.0,115.0
60007,60017,60050b,0.0,0.0
42597,42598,42035,138.0,230.0
28461,28371,40390b,115.0,115.0
8469,31715,81915,4.16,138.0
5710,17019,79581,4.16,100.0
38095,52609,14838b,69.0,115.0
34343,62300,1308c,161.0,115.0
15571,15572,33494d,230.0,230.0
14743,14744,4763b,115.0,115.0
16352,16356,31989c,115.0,115.0
17501,10804,48307i,115.0,115.0
38660,39992,6570,69.0,69.0
4497,44003,78532a,4.16,230.0
33885,45336,5450d,115.0,161.0
13050,13041,35225b,69.0,230.0
16083,16081,16373,69.0,69.0
5027,12918,78997,6.9,230.0
51747,51748,3055a,69.0,69.0
37603,37604,28402a,115.0,69.0
19577,24636,36189a,115.0,138.0
2131,49501,76398,6.9,33.0
5518,47982,79404,0.69,60.0
53590,44933,3863,138.0,138.0
54587,54589,57726,345.0,345.0
39983,39984,24267b,0.0,0.0
58063,58064,56228b,69.0,69.0
1136,11588,75511b,22.0,345.0
6856,15650,80564,4.16,69.0
53877,53875,55234c,230.0,230.0
30926,30930,8299a,115.0,69.0
40169,40170,733b,161.0,161.0
26688,26687,45519a,115.0,115.0
10259,10340,47484a,230.0,345.0
10435,10438,8585,0.0,138.0
